raw,identity,number,category,type,filled_words,honest_categories,asf,om,ps,ddp,svp,pr,an,cds,ddf,re,asm,is,qas,rci,dmc,or,pa,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' en gal med oppgavene, og hadde hun ikke mer', ' eiendomsmegler på heltid, for da skulle hun nok', ' modell og tjene rått med penger. Hun hadde hatt', ' lærer. Men det vil hun ikke innrømme overfor sine', ' modell i New York. Nå bodde hun, i tillegg']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' en «mygg,» har hun vært,', ' spåkone på Mallorca, og', ' modell og skuespillerinne. Dessuten har hun arbeidet som', ' hore siden hun kom til England. Hun lever', ' best hun kan.\nHun vil prøve å gjøre det hun']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' barnepike. Hun fortalte at hun hadde en', ' jordmor, og selv om tiden var knapp,', ' fast lærerinne i Kringsjå skole. Fru', ' hushjelp i en familie, da jeg traff henne, var', ' lærer og organist i den lille byen. Da gikk']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' interiørstylist, ble hun forferdet over', ' servitør mens hun gikk rundt med drømmet', ' regnskapsfører og tjente mer enn han noensinne hadde', ' modell. Hun var veldig pen. Lårene hennes', ' servitør, eller jobbet hun?\nhun har']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' filmstjerne.\n«Kom,» ropte moren', ' ballettdanser.\nfinner henne til slutt', ' skuespiller. For å lykkes i dette må hun være', ' rik og berømt, og få sjansen til å', ' sangerinne og danser. Den dagen hun skal ha']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' modell. Hun hadde lange bein og store pupp', ' journalist. Mødre som gikk på jobb, kunne', ' sykepleier og moren burde lese til universitetet. Da ville', ' servitør, for da kan hun betale husle', ' eskorte for rike menn og være sammen med en masse']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' stuepike, mens faren har vært teleg', ' skuespiller. Når jeg får beskjed om at hun har', ' prostituert i New York. Det er en', ' pianolærerinne. Det var en tilværelse', ' ekspeditrise i en blomsterforretning, og']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' husholderske på Hillestad. Enken var', ' guvernante i Wandsworth, giftet', ' ekstra tjenestejente hos den eldste av de to ug', ' syerske på fabrikken, men hun fikk ikke fast', ' fast organist i kirken. Han hadde en mistanke']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' sekretær ved en av de store hotellkjedene', ' eiendomsmegler for et berømt firma. Der hadde', ' lærer i den samme folkeskolebygningen, var de', ' hushjelp hos dem. Han hadde ofte spist middag hos', ' hushjelp, og at hun ikke bare var glad']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' modell, har ingen hemmeligheter for meg.\n«K', ' som henne, hun går med små skritt, som om', ' en berømt ballettdanser. En dag vinner', '. Men om natten går drømmer og virkeligheter over', ' ballettdanser. Hun arbeider i morens par']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' eiendomsmegler; hun kunne gi gode råd og et', ' modell i New York eller komme enda lengre vekk fra', ' klesdesigner. Men hun hadde ikke tid til', ' barnevakt for datteren til han som var far til', ' sykepleier. Hun vil ikke bli lege. Hun vil']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' en slags selskapsdame, for det meste for', ' tyv, er det opp til oss å sørge for', ' barnepike for en familie i Iowan.', ' en prostituert, har det vært lett for ham', ' journalist.\nFødslar har stått åpent i dette']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' sekretær på en beryktet bordell og deretter', ' bokholderske. Frua var nå ikke lenger', ' enearving, var hun like henrykt.', ' hushjelp hos dem. Til slutt ga han etter for', ' barnepike for deres to barn, en treårig']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 1, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
[I] jobbet som [M].,datteren,singular,female,occupation,"[' sekretær på likhuset i Santa Monica.\n«Jeg har', ' vikar. Hun så seg om i rommet med det', ' kokk — var det en del av planen at', ' prostituert. Jenna og Sam ble arrestert', ' vaskehjelp i banken, og da jeg fant ut']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' keltiske fruktbarhets guder som hun', ' profesjonell sprangrytter og at hun og venninnen', ' profesjonell isdronning, og hun har alltid vært', ' filmstjerne. Men drømmer kan bli virkelige,', ' lege. Drømmene hennes er en slags parallell']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør eller butikkmedarbeider. Hun hadde', ' servitrise i stedet.\nDa hun var yngre,', ' modell. Det ville vært bra for ham, bedre enn', ' serveringsdame, det var derfor de skulle ut', ' postbud, men at hun så litt bortkommen']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' pianistinne i en liten musikktrupp på', ' prostitusjon eller, for den saks skyld, som', ' en annen tjener så lenge: Hun har alltid hatt', ' serveringsdame i byen den siste tiden. I', ' pianistinne på mange forskjellige steder i Europa. Og']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' hushjelp hos en familie som skulle på et fem', ' hushjelp hos oss i begynnelsen av august.\nJeg må', ' serveringsdame på et hotell i Kristiania', ' hushjelp hos oss fordi jeg har fortalt at hun', ' hushjelp på en storgard i Østfold.']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' servitør på en kafé. Dagmar visste', ' modell, hadde Bennie lagt seg til en', ' servitør på den lokale kroen, men ble', ' en hest hele den dagen. For å hjelpe henne gjorde', ' hushjelp for grevinne Cécile de']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' en berømt modell.\n- Det er ikke bare en', ' forfatter. Hun ble født på Island i 1974,', ' sangerinne.\nav hennes store dagdrømmer,', ' dikter, hun må ha vært litt av en', ' skuespiller. - Jeg har ikke en sjanse til å']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' servitør i stedet.\n«Nei, det gjør', ' frivillig på biblioteket. Og en jente på hennes alder', ' stripper på en strippebar i Las', ' sykepleier.\nHun kunne se det for seg: det store', ' assistent i stedet for som sykepleierske.\nFamilien']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' leiemorder.\ntil å skyte ham.\nCla', ' en hore i London.\nsom en tigger', ' hushjelp i mange år, men ingen av dem nevner', ' gateartist.\nBarbarisk sex var aldri', ' modell i årevis. Hun kommer aldri til å']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepike hos familien Hirsch,»', ' guvernante i det store byhuset for å', ' hushjelp i huset, så hadde hun straks forelsket seg', ' ny forvalter på Saxegård før hun måtte dra', ' husholderske. Han lot seg ikke merke med']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærerassistent. Hun var like dyktig som søsteren,', ' lærer. Men en dag forsvant han, og da sa', ' kelner på det gamle vertshuset The R', ' dykker på en oljerigg utenfor Pusan', ' sykepleier, og da han var barn, så han henne']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sanger, og det blir hun. Nå har hun en', ' kunstner.\nkjæresten hans har blitt bortført', ' modell og er med på fotoopptak og bilderedig', ' filmstjerne, og da er den berømte filmen', ' sangerinne.\nmed to brødre som har kommet']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' frivillig på et barnehjem når hun reiser til Afrika', ' en slave i stedet for å leke med dette', ' hun var betalt for, ikke omvendt. Sytt', ' modell. De skulle ikke ane at hun var', ' barnepleierske eller assistent i et fengsel. Som']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' selskapsdame, sykepleierske og stuepike', ' tjenestepike og kokkepike i forskjellige', ' lærerinne, og hun sier, som sant er:', ' modell, malerinne og skribent i løpet av', ' gateselger, en person alle later til å']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' tjenestepike der hun var ansatt før krigen.', ' husholderske på gården, var ingen glad over', ' barnepike. Fm Rantanen gjorde', ' tjenestepike hos en barnløs kjøpmannsf', ' guvernante i huset for syv år siden, for']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' lærer på en videregående skole i Stratford.\n«', ' lærer ved Trara skole. Kaysa hadde', ' jordmor på det lokale sykehuset, og på grunn', ' jordmor. Han hadde bodd sammen med moren i', ' eiendomsmegler i Dallas i to år, da']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter, og det samme gjør niesen. T', ' en ny Lina Bickham, og vil', ' skuespillerinne. Tanten får jobb - ja, hun', ' en verdensberømt sanger, men når hun endelig', ' operasangerinne.\nfetteren deres,']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' spion. Det må være noe bedre en gang. Kanskje', ' frivillig under den lokale festivalen for å tjene en sl', ' danser i en danserestaurant eller som', ' telefonselger?\nden gamle burde jobbe som telefon', ' lærer i stedet for å spille for Manchester United.']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' husmor på et hotell og en pub. Hun', ' privat lege. Han driver en praksis på et land', ' musikant! Den eldre har levd av å dyrke', ' kontorist hos en sakfører i sin hjembyg', ' guide, sjåfør, bærer og bærer, og det']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' en slags visergutt, han fikk beskjed at han', ' kontorbetjent med en gasje av femti', ' kontorist, men hans sjef hadde en mistanke om at', ' en slags sekretær. Den gamle var direktørens høyre', ' hjelpebibliotekar i en større by. H']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,den unge,singular,male,occupation,"[' en slave i en gruvesjakt, og', ' løpegutt på et bilverksted, mens hun', ' resepsjonist, men hadde en drøm — en drøm hun', ' oppvasker. Det var i den gamle tiden, da', ' vikar på et legekontor. En dag da']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
