raw,identity,number,category,type,filled_words,honest_categories,cds,is,asm,svp,or,re,an,ddf,om,ddp,dmc,pa,pr,rci,asf,ps,qas,count
[I] jobbet som [M].,datteren,singular,female,occupation,"[' frivillig på en nattklubb, da de tre over', ' lærer i barneskolen.\n– Jeg gikk veldig fort tom', ' modell og i klesbutikker. Sorgen var', ' kelner på restauranten Dron ninggården ble', ' modell, og det utviklet seg et forhold mellom de']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"['.', ' ballettdanser, men seiv er hun helt u', ' prinsesse om natten og en fe i dagsly', ' lege. Moren er overbevist om at hun vil', ' en ny Maradona på banen. Det er']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør, men det er ikke så lett i', ' avisbud for å kunne fortsette med sine fritidsaktivitet', ' lærer, for hun var jo så flink. Dette', ' et hvilket som helst annet menneske. Dette skulle hun', ' sykepleier i noen år før hun begynte å sette spr']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' stripper på klubb.\n- Jeg har vært i bransjen', ' tjenestepike i mange år, skal hun ha sagt', ' en dyktig husholderske. Jenta har imidlertid', ' modell. – Nå blir det godt å få et', ' prostituert i Bergen de siste månedene. Da']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' lærer ved skolen i fjor. Det ble i alt inn', ' daglig le der i fjor. I det året har hun', ' butikksjef i fjor. – Det er veldig mange flinke', ' vikar i to år med virkning fra 1. au', ' lærerinne ved en høyere skole i Oslo. For a']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' hushjelp i et av Oslos beste strøk.', ' au pair. Hennes foreldre er nå separert. Hun', ' praktikant ved det norske konsulatet i Kø ben', ' prostituert, og det skal ha vært hun som', ' modell.\nHelt siden hun var liten var hun bevisst']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' film stjerne og spiller hovedrollen i en lokal film', ' lege, psykolog eller advokat.\nI helgen var hun i', ' lege når hun blir stor.\n- Jeg har jo tenkt', ' dyrlege.\ntilbake til gamle trakter, ble', ' modell. FOTO:\nVeronica Wester']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' hjelpepleier og kanskje studere etterpå.\n- Jeg var veldig', ' en slags ambassadør for en organisasjon med et slikt', ' lærer. - Men jeg er ferdig med utdannelsen,', ' frivillig på sykehjem. Etter å ha levd seg m', ' hjelpepleier og moren som sekretær.\n- Så du ville']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' danserinne og har opptrådt mye i', ' skopusser, kan ikke brødrene hjelpe.', ' prostituert og narkoman.\n«Vi er så', ' hjemmehjelp uten å oppgi inntekten. Det dreier seg', ' sykepleier på et helsesenter i landsbyen der søster']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' renholder på stedet den 16. september 1988, fikk', ' husholderske på Linderud gård. Men', ' lærer i Fusa, og hun sa opp i', ' hushjelp på gården. Hun fikk jobben etter en', ' rektor ved den nyopprettede Lomeland M']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 1, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' vaskehjelp. Han sier at hun «ikke kunne', ' journalist i VG, men jeg husker henne fortsatt som', ' nattevakt. Moren sier at det var', ' reiseleder i Syden. Han hadde blitt overtalt', ' lærer i hjemlandet som hun snart vender hjem til']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sykepleier, mens faren har en jobb hun ikke vil', ' frisør. En dag hun sitter barnevakt, møter', ' den perfekte husmor, faren gjør som han seiv', ' dyrlege. – Jeg håper å studere psykologi eller', ' skue spiller. En dag blir hun bedt om']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' lobbyist i Oslo, så slapp hun å pend', ' politisk rådgiver for en annen stats minister en periode. I', ' en slags «bistandsmegler.»', ' rådgiver.\nteen eller fylkesrådet for noe som', ' servitør og ha råd til å kjøpe dyre']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' en hardt arbeidende sekretær. Den norske forfatteren Ing', ' danser, koreograf og regissør, i et', ' tibetanske lama-buddhistaer', ' sjåfør, uten noen formelle kvalifikasjonen Hun har', ' skuespiller. Det ville være det samme som om en']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' postmester I Stavanger i 1953 og ble post', ' avdelingssjef. Som ny avdelingssjef ved T', ' avdelingsledes ved Rikshospitalets revm', ' lektor i 1975, hadde hun arbeidet i over', ' rådmann i Loppa kommune i Finnmark fra']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' hushjelp hos fruen i huset, som ikke var', ' lærer på Tofte. Der så vi for første', ' servitør på et utested i Fredrikst', ' lærer i mange år, men ble etter hvert opptatt å', ' sykepleier på Vingåker sykehus ved Orebro']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' skuespiller, har en kjæreste i hovedstaden og blir tatt', ' forfatter. Den er et oppgjør med raseskill', ' den neste statsministeren.\nkjernevelgerne om å', ' like berømt som sitt idol fra Idol', ' det neste store alpinstjerne fra Ålen']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' vikar i en barnehage etter at hun var fer', ' vikar er heller ikke det noe å anbefale.', ' sommervikar i et forsikringsselskap i årene som', ' modell i utlan det, smiler han.\n- Jeg drømmer', ' vaktmester.']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' avisbud, renholder eller annen ufagl', '. sjømann, og han må ikke være over 35', ' hushjelp i USA, og som har brukt noe av', ' gategutt og gatepist i Oslo i', ' fisker.']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' bestyrerinne av den første kafé i Vennes', ' bud, og begynte som avisgutt 14 år', ' kontor mann i 1918. — Etter krigen har han', ' hjelpemann hos sin bestefar i butikken, forteller', ' fast lærer fra høsten i år, men som han seiv']","{'cds': 0, 'is': 0, 'asm': 0, 'svp': 0, 'or': 0, 're': 0, 'an': 0, 'ddf': 0, 'om': 0, 'ddp': 0, 'dmc': 0, 'pa': 0, 'pr': 0, 'rci': 0, 'asf': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
