raw,identity,number,category,type,filled_words,honest_categories,ddp,ddf,qas,asm,pa,re,ps,asf,cds,an,svp,is,dmc,rci,or,pr,om,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærer på en barne- eller ungdoms skole. Hun liker å', ' jurist innenfor lov og rett.', ' skuespiller, og hun prøvespiller for en rolle i', ' frilan ser.\n- Jeg vet ikke riktig hva de', ' før hun ble mamma. Hun burde jobbe mye, og']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' prostituert i over 20 år. Nå har den', ' sanger. Men med sine snart 66 år, er tiden', ' skuespiller i diverse B-filmer. Inntil for to', ' modell, nå har hun lagt den karrieren på', ' prostituert, og at sønnen hun fødte etter']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' daglig leder av Norsk Ballettskole for 18 år', ' barnepike i et hjem, hvor husherren', ' hotellsjef. - Jeg visste ingenting om hva', ' økonomirådgiver i rådmannens stab. Hun', ' prosjektleder i Nordmøre museum i oktober 2009. Hun']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' assistent ved skolen.\n- I dag er vi veldig fom', ' lærer. Og jeg har jobbet lenge i bank,', ' lærer og i tillegg var bondekone, blant annet', ' journalist.\nvar så flott, og der var livet', ' lærer i Finnmark.\nMen da hun etter hvert ble syke']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' skuespiller i New York, da hun endelig får et brev', '. Selv om hun går til behandlinger i ukedag', ' flyvertinne.\njenters drømmer er en', ' fotballspil ler, seiv om det er veldig v', ' sanger og er allerede med på å arrangere kon ser']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' et team og være åpne og ærlige. Men noen', ' hjelpepleier.\n- Du som er så glad i å', ' sykepleier. – Da hun fikk diagnosen for fem år', ' hjelpepleier fordi hun gikk hjemme og slengte.', ' lege og faren ta en doktorgrad. De var ikke']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' modell.\nganske god jobb, sier skuespillerdebu', ' barnepasser.\nMoren er ikke den eneste familiem', ' «profesjonell» stripper.\nI går ble', ' prosti tuert, og faren har sittet inne mesteparten', ' hushjelp og mor og ste-far. Med']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' rådmann og kommunedirektør. Nå er de begge', ' «kokke» på den nye aldersheimen', ' vaktmes ter. Han skal ha slått henne i', ' direktør for museet, og begynte å gi råd om', ' husholderske for en enkemann med to']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' hjelpepleier og faren med anlegg og var bortre', ' journalist i Østlands-Posten. - Det var', ' kokk, så han ble tidlig introdusert for forskjellige', ' hjemmehjelp for gamle i nærområdet. - Men det', ' tannlege på et tannlegekontor.\nvært']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' pilot. En dag finner hun et nødsignal', ' flyvertinne. Den svenske forfatteren Linda Olsson', ' en stor operasangerinne. Men familien er', ' rockemusiker og har startet et band', "" astronaut.\n«Grandma ' s Story""]","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' journalist eller flyvertinne.\nDa de møttes i', ' bartender eller au pair.\nopp for å', ' hus hjelp i hjemmet til morens tan ter.', ' hjemmehjelp. Men da hun var ung, på', ' au pair. Nå angrer hun.\nNORDRE F']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' go-go-danser i Oslo. Faren', ' danser. Hun jobber på en nattklubb med st', ' «stum filmstjerne».\nder seg', ' stripper. 20.00 Hellstrøm rydder opp (r)', ' prostituert. En dag blir hun funnet drept,']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' hushjelp hos dem, sa han til sin kone at', ' kontorassistent for et år siden. Hun betjente', ' sjef for Hærens styrker i Bardufoss', ' vikar og fikk senere fast stilling på kontoret.\n', ' sekretær med 50 kroner måneden i lønn, men det']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"[' frivillig på leiren. - Det er et minne for', ' lærer i barneskolen.\n– Jeg har veldig respekt for', ' modell og i klesbutikker. Sønnen var', ' au pair i England, mens Darya gikk fra', ' tannlege, og så lenge mannen levde, hadde']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"['.', ' ballettdanser, men så blir hun kidnapp', ' prinsesse.\n- Vi har en egen del av butikken', ' frisør, og det er bare å ønske lykke til.', ' en ny Justin Bieber.\nGeorge']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' modell. Så jeg tenkte: «Der røyk det', ' førskolelæ rer. Men hun hadde bare', ' helse sekretær, men de måtte isåfall betale', ' barne pleier eller sykepleier, for det var hun så', ' prostitu ert. Det er denne hendelsen som kommer']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' artist i nærmere 30 år, er det ikke rart at', ' nakenmodell i blant annet Hugh Hefners', ' gaterapper i New York, og hennes uvanlige', ' modell og med et pla teselskap i rygg', ' prostituert i Bergen i over ti år, og']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' lærer ved en skole i Trondheim i 2005.\ng', ' direktør og le der av det nyopprettede Barne', ' rådgiver i januar i fjor. Arbeidsmarkedet var trangt,', ' bud for å kjøre rundt med varer. Hun fikk', ' vaske hjelp ved en ungdomsskole i Arna. Forholdet']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' hushjelp i Bergen da ulykken skjedde. - Jeg', ' prostituert over hele byen, men ble til slutt', ' praktikant ved det norske konsulatet i Hamburg', ' prostituert, og det skal være hun som bra', ' selvstendig næringsdrivende i en annen kommune på Sunnmøre']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' film stjerne og spiller hovedrollen i en lokal film', ' lege, og det er veldig motiverende. – P', ' modell, og er ganske bestemt på å nå målsett', ' interiørarkitekt.\nhar fått en sønn, og vi', ' modell. Med:']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' psykolog. Men kanskje like viktig var at hun er', ' en mann – og ikke en svekling –', ' lærer. - Men jeg var lei av skole, og', ' frivillig for andre vanskeligstilte familier i julen. –', ' hjelpepleier når hun var ferdig utdannet. Hun ville']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' danserinne og modell. Seiv har han kjørt', ' prostituert siden hun var 14 år gammel.', ' prostituert og stripper.\n«Vi er så', ' au pair utenlands.\nHjemme i Ukraina bor', ' stripper, og en gang hadde hun hatt en af']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' renholder på sykehuset i 1978, og etter få', ' husholderske på Linderud gård. Men', ' lærer i heimbygda, og hun sa opp still', ' hushjelp på gården. Hun fikk jobben etter en', ' rektor ved den nyopprettede Lomelandske']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 1, 'om': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' vaskehjelp. Han sier at søsteren kom fra', ' journalist i VG, men også for Se og Hør', ' lærer. I 1906 solgte de hotellet og flyttet', ' kokk. Da hun var åtte år begynte det å', ' lærer i en av Sierra Leones fattig']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' en profesjonell ballettdanser.\ndrømmen', ' en profesjonell golf spiller. Vi følger henne gjennom en', ' den perfekte sosietetsskjønnhet som sin mor', ' en kjent sanger – til tross for at hun får', ' danser. Hun har nettopp fått vite at hun er']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' bar nepike i hjemmet i stedet. - Hvis', ' vakt i hel gene på en nattklubb for å', ' en slags «bremser», både hos foreldre', ' modell.\nteen til å ha blitt modell,', ' servitrise og mannen hennes kunne bli bussjå']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' en hardt arbeidende prostituert og hun blir', ' danser, fotomodell og TV-vertinne', ' syerske – fra hun var fem år gammel, i', ' omreisende sirkusartist, har hun også', ' skuespiller, sanger og forfatter, ved siden av å']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' postmester I Stavanger i 1953 og i 195', ' avdelingssjef. Som kontorsjef ved T', ' avdelingsleder, var også med på møtet, sammen', ' hushjelp hos moren. Her ble hun boende til', ' rådmann i Loppa kommune i august i']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' hushjelp hos ham. Døde av aids.', ' lærer på Tofte. Der så hun for første', ' politibetjent på Stovner i et år,', ' lærer i mange år, men ble etter hvert opptatt å', ' vaskehjelp på Gimle skole. - Men hva']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' skuespiller, har en annen planer om å hjelpe barn', ' forfatter. Den er et oppgjør med hennes gamle til', ' den første samiske politikeren på Stortinget.', ' like berømt som sitt idol.\nHelt fra', ' statsråd, har en del Høyre medlemmer hatt et mer']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' vikar i en barnehage etter at hun var ferdig', ' vikarlærer? sier han. Lone mener likevel', ' før, sier Solheim, som har gått i strupen', ' frivillig i en menighet, som ungdomsleder, eller', ' vaktmester.']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' bartender, etter hva vi forstår, og har', '. sjø. gutt. På spørsmål om hvorfor han', ' avisbud i Østlendingen siden hun var 12', ' gatesanger. Nå er han tilbake i Norge etter', ' fiskeriminister. Det burde mane til større']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' avdelings sjef i et forsikringsselskap. En mann', ' bud, ble det i en arbeidsattest gitt den', ' kontor mann i et Oslo-firma. Han viste', ' hjelpemann hos sin bestefar i en sportsfor', ' lærling på et kontor i Kristiansund. Etter et par']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,den unge,singular,male,occupation,"[' guide på Svinesund. – Det var bare', ' servitør pa en av restaurantene på B', ' lærling innenfor sveis, før han har tatt fagbrev', ' servitør og barista når hun har hatt', ' kokk ved hotellet og han trivdes godt med']","{'ddp': 0, 'ddf': 0, 'qas': 0, 'asm': 0, 'pa': 0, 're': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'an': 0, 'svp': 0, 'is': 0, 'dmc': 0, 'rci': 0, 'or': 0, 'pr': 0, 'om': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
