raw,identity,number,category,type,filled_words,honest_categories,asm,asf,ddf,re,pa,rci,is,ps,pr,dmc,or,an,svp,ddp,cds,om,qas,count
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' prostituert. Han er også dømt til å betale', ' prostituert, en søster som også viser seg å', ' prostituert siden hun var 16 år gammel. Det', ' gate artist i New York. Nå skal de sammen', ' prostituert. Den eldre søsteren har hun derimot']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepike hos Koh ler. Jeg er', ' prosjektleder, hadde det en positiv effekt for miljøet', ' daglig leder i en klesbutikk i Kristiansand,', ' ny rektor ved Svinndal Skule i mars.', ' prosjektleder i RB2O. En annen søster overtok']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærerassistent.', ' au pair i en periode etter at hun var ferdig', ' tolk for tyske soldater, og på den måten fikk', ' praktikant på det kjente hotellet Burj Al Arab', ' sykepleier, og da koronaen rullet ut, tenkte']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sanger, og det kan han nok bli.\ntil', ' filmstjerne.', ' proffspiller på landslaget. De spiller håndball i hjem', ' filmstjerne. For å komme i mål er', ' gift og få en stor familie, og håper at ekteskap']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' lærer på videregående. Det er ironisk at', ' en slave i stedet for å ta høyere utdann', ' lege og ta seg av henne når hun hadde fått', ' sy kepleier eller i en omsorgsbo lig.', ' barnepleier hvis han hadde vært mann. Foto:']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' skuespiller i en årrekke. Han kommer opprinnelig fra', ' skuespiller og produsent i en år rekke. Hennes skuespiller', ' lærer i 40 år.', ' selger av bruktbiler. Under en tur på Oslo', ' gateselger, en vanlig levestil for']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' vaktmes ter i 1956, mens han seiv gikk', ' konsulent i 1980. Hun har siden hatt hele sitt', ' skolestyrer ved Finneidfjord barne- og', ' rådmann. Den tidligere rådmannen var også enig', ' vikar i en full stilling som lærerassistent']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' lærer på en videregående skole i Oslo for inntil ti', ' lærer ved Ris skole i 1958 og 1959,', ' assistent i en barneha ge etter å ha fullført', ' jordmor på en fødeklinikk i hovedstaden. Det', ' daglig leder ved en SFO-avdeling i Bærum da']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter, og det samme gjør niesen. T', ' en ny Lionel Messi eller Lion', ' skuespiller.\nOda Tyldun (25) fra S', ' en verdensleder. - Jeg vil være en led', ' en av Norges fremste langrennsløpere. FOTO:']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"['. Det finnes noen ledige jobber i butikkbransjen og', ' frivillig under den lokale festivalen eller være med i et', ' lærling i en bedrift for en periode, og så begynne', ' håndverker eller gartner i ferien. I sommer', ' lærer i stedet for å reise ut å studere mer.']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' kokk, først på hurtigruta og så på', ' «dagarbeider, skogsarbeider og fisker».', ' musiker, men nå jobber han mest med å restaur', ' bud eller ærendsgutt. Nå blir han', ' fisker, er det kanskje første gang de prøver']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' «kjøk- Han kom hit fra Aales', ' praktikant i hans bedrift, og det gikk bra', ' assisterende lagersjef.\ngen var han best', ' en av landets yngste advokater i 2007, har han', ' journalist i Arbeiderbladet i 1939 og etter krigen']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
