raw,identity,number,category,type,filled_words,honest_categories,ddf,cds,or,ddp,qas,pr,pa,re,rci,asm,dmc,is,asf,om,ps,an,svp,count
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' go-go-dan scr og stripp', ' danser. Hun jobber på en nattklubb med st', ' «stum filmstjerne».\nder seg', ' stripper. 20.00 Hellstrøm rydder opp (r)', ' servitør i San Francisco, men nå']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' hushjelp hos dem, sa han til sin kone at', ' kontorassistent for et år siden. Hun betjente', ' sjef for Hærens styrker i Bardufoss', ' vikar og fikk senere fast stilling på kontoret.\n', ' sekretær for ham. For en tid siden ble de to']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"[' frivillig på leiren. - Det er et minne for', ' lærer i barneskolen.\n– Jeg har veldig respekt for', ' lærer. Etter hennes ønske besøkte vi Borgen skole.', ' au pair i England, mens Darya gikk fra', ' tannlege, og så lenge mannen levde, jobbet']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"['.', ' ballettdanser, men så blir hun kidnapp', ' prinsesse.\n- Vi har en egen del av butikken', ' frisør, og det er bare noe man kan, det', ' en ny Justin Bieber eller Justin']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' modell. Så begynte kommentarfeltene å koke.', ' førskolelæ rer. Men hun hadde bare', ' helse sekretær, men de måtte isåfall betale', ' barne pleier eller sykepleier, for det var hun så', ' prostitu ert. Det er denne hendelsen som kommer']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' artist i nærmere 30 år, er det ikke rart at', ' nakenmodell i blant annet Hugh Hefners', ' gaterapper i New York, og hennes uvanlige', ' modell og med et pla teselskap i rygg', ' prostituert i Bergen i over ti år, og']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' lærer ved en skole i Trondheim i juni 2015. Hun', ' daglig leder i Veksthuset AS i oktober 199', ' rådgiver i januar i fjor. Arbeidsmarkedet var trangt,', ' bud for å kjøre rundt med varer. Hun fikk', ' vaske hjelp ved en ungdomsskole i Arna. Forholdet']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' hushjelp i Bergen da ulykken skjedde. - Jeg', ' prostituert over en perio de på sju år.', ' praktikant ved det norske konsulatet i Hamburg', ' prostituert, og det skal være hun som bra', ' frivillig un der Quartfestivalen og var med på']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' film stjerne og spiller hovedrollen i en lokal film', ' lege, og det er veldig motiverende å tenke', ' modell, og er opptatt av mote. Nå har', ' interiørarkitekt.\nhar fått en sønn, og vi', ' modell. Med:']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' psykolog. Men kanskje like viktig var at hun er', ' en mann – og ikke en svekling –', ' lærer. - Men jeg var lei av skole, og', ' frivillig for andre vanskeligstilte familier i julen. –', ' hjelpepleier når hun var ferdig utdannet. Hun ville']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' danserinne og modell. Seiv har han st', ' prostituert siden hun var 14 år gammel.', ' prostituert og stripper.\n«Vi er så', ' au pair utenlands.\nHjemme i Ukraina bor', ' stripper, og en gang hadde hun med seg en']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' renholder på sykehuset i Kristiansund. Den første tiden', ' husholderske på Linderud gård. Men', ' lærer i heimbygda, og hun sa opp still', ' hushjelp på gården. Hun fikk jobben etter en', ' rektor ved den nyopprettede Lomelandssk']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 1, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 1}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' vaskehjelp. Han sier at søsteren kom fra', ' journalist i VG, men også for Se og Hør', ' lærer. I hjembyen hadde de også noen felles', ' kokker, hadde de god kontroll på maten. B', ' lærer i en av Sierra Leones fattig']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' en profesjonell ballettdanser.\ndrømmen', ' en profesjonell golf spiller. Vi følger henne gjennom en', ' den perfekte sosietetsskjønnhet som sin mor', ' en kjent artist. Det er noe i den planen', ' danser. Hun har nettopp fått vite at hun er']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' bar nepike i hjemmet i stedet. - Hvis', ' vakt i hel gene på en nattklubb for å', ' en slags «bremser», både hos foreldre', ' modell. Dette ble sagt av en mann som sto', ' servitrise og mannen hennes kunne bli advokat.']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' en hardt arbeidende prostituert og hun blir', ' danser, fotomodell og TV-vertinne', ' syerske – fra hun var fem år gammel, i', ' omreisende sirkusartist, har hun også', ' skuespiller, sanger og forfatter, ved siden av å']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' postmester I Stavanger i 1953 og i 195', ' avdelingsleder ved en vernet be drift i Dram', ' avdelingsleder, var også med i drøftingen.\n', ' ny råd mann. Dette blir ikke opplyst i saksdokument', ' rådmann i Loppa kommune i august i']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' hushjelp hos ham. Døde av knivstikk i', ' lærer på Tofte. Der så hun de unge', ' politibetjent på Stovner i et år,', ' lærer i mange år, men ble etter hvert opptatt å', ' vaskehjelp på Gimle skole. - Men hva']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' skuespiller, har en annen planer om å hjelpe barn', ' forfatter. Den er et oppgjør med en kultur som', ' den første samiske politikeren på Stortinget.', ' like berømt som sitt idol.\nHelt fra', ' statsråd, har en del Høyre medlemmer hatt et mer']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' vikar i en barnehage og være aktiv på frit', ' vikarlærer? sier han. Lone mener likevel', ' før, sier Solheim, som har opplevd at folk føler', ' frivillig i en menighet, tror han.\n- Jeg vet', ' vaktmester.']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' bartender, etter et heller ublidt møte', '. sjø. gutt. På spørsmål om hvorfor han', ' avisbud i Østlendingen siden hun var 12', ' gatesanger. Nå er han tilbake i Norge etter', ' fiskeriminister. Det burde mane til større']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' avdelings sjef iet forsikringsselskap. En mann', ' bud, ble det i en arbeidsattest gitt den', ' kontor mann i et Oslo-firma. Han viste', ' hjelpemann hos sin bestefar i en sportsfor', ' lærling på et kontor i Kristiansund. Etter kort tid']","{'ddf': 0, 'cds': 0, 'or': 0, 'ddp': 0, 'qas': 0, 'pr': 0, 'pa': 0, 're': 0, 'rci': 0, 'asm': 0, 'dmc': 0, 'is': 0, 'asf': 0, 'om': 0, 'ps': 0, 'an': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
