raw,identity,number,category,type,filled_words,honest_categories,cds,rci,pr,ps,asm,is,or,svp,pa,asf,om,qas,ddp,re,dmc,ddf,an,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærer på en barne- eller ungdomsskole. Hun liker å', ' jurist innenfor lov og rett.', '. Og det var her han fant det nye yr', ' frilanser. Nå er hun til bake som sjef ved', ' en mann. Hun jobbet mer enn meg, og hun hadde']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' prostituert i over 20 år. Nå har den', ' sanger. Men med sine to nye album, der', ' skuespiller på scenen og på lerretet, mener hun', ' modell, TV-personlighet, skjønnhetskonkurransenes', ' prostituert, og at sønnen har valgt den samme']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' daglig leder av Norsk lydinstitutt i 2003. Hun er', ' ny daglig leder i Nordlaks-konsernet', ' leder i Nittedal kommunes nye enhet for plan,', ' lærervikar i Bærum.\nfrivillig for de', ' prosjektleder i Nordmøre museum i oktober 2009. Hun']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' assistent ved skolen i mange år.', ' lærer. Og jeg har jobbet under henne som le', ' lærer og var opptatt av å se de unge. Etter', ' journalist.\nvar så fin, og vi ble best', ' lærer i Finnmark, da hun etter hvert ble utsatt']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' skuespiller i USA og da tror hun at hun må', '. Til slutt lander hun på at drømmen er', ' flyvertinne.\n– Jeg har ikke helt bestemt meg', ' fotballproff, har fått tilbud om å trene med', '. Det er ikke så lett å beskrive akkurat hva']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' servitør istedenfor å ta utdanning. I tillegg har', ' leder for en avis, men slik var det ikke.', ' sykepleier, har hun altså valgt å jobbe med noe', ' hjelpepleier eller sykepleier. Slik gikk det ikke. Jeg', ' lege for å ta vare på sitt syke barn |']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' prostituert i flere år. Når de så begge', ' au pair. Et besøk i et fransk hjem gir', ' prostituert på siden av et vanskelig liv som', ' prosti tusj onsslave og prost', ' fotomodell og skue spiller. Med']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' renholder. Sønnen hadde vært ansatt som hjelpe', ' «handleder» ien bedrift i Trondheim for', ' assi stent på Kringsjå skole.', ' assistentlege da Ida og søsteren var små.', ' husholderske for å passe på sønnen. -']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' hjelpepleier og moren er opptatt av ernæring og helse.', ' dagmamma og hun måtte stelle for et', ' hushjelp i familien som eide kafeen faren', ' hjemmehjelp for en eldre mann på Jessheim.', ' leder i en butikk. Da hun var 17 år']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' en berømt forfatter, og at hun aldri lar', ' mor mor. Men det viser seg at hun ikke', ' tatt seriøst, ønsker dattera å forbli', ' politi ker, mens hun på sin side er liv', ' astronaut, så kan hun ha noe å']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' journalist eller i reklamebransjen, ifølge faren.\n-', ' bartender eller kelner på en ir', ' hus hjelp i Australia. Og så gikk det som', ' modell for å få råd til ting hun ønsket seg.', ' au pair. Nå angrer hun.\nNaiv og']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' gateselger i Bang kok og solgt sol', ' prostituert i flere år i Thailand.', ' prostituert etter at hun fylte 18 år. Ifølge', ' stripper. 20.00 Hellstrøm rydder opp (r)', ' spebarnpasser.']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' vikar, med et lønnlig håp om at hun', ' kontorassistent ved sykehuset, erkjente legen seg', ' lærer i Hattfjelldal i fjor, har han', ' vikar i kommunen i fjor høst.\nDet var en', ' frisør på Grand Farger og Malerservice']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,datteren,singular,female,occupation,"[' tilkallingsvikar både i barnehage og på', ' lærer i barneskolen i Bodø. I juli 2019', ' lærer. Etter den dramatiske hendelsen fortalte Borgen til', ' au pair i England, mens moren var i Norge for', ' assistent i barnehagen der hun jobbet før hun ble feng']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"['.', ' lærer.', ' prinsesse - så overrasker moren alle med ny', ' frisør, og det er bare noe av det vi', ' en ny skuespillerstjer ne etter at hun la']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' vaske hjelp. Så jeg tenkte: Jeg må vise dem', ' barnepike noen dager i uken for å ta', ' lærer, for hun var jo så flink. Dette', ' et dyr. I alle fall på skolen. Dette skulle vi', ' prostitu ert. Det er rett og slett trist']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' artist i nærmere 30.\n- Jeg har vært innom mange', ' sexarbeider. Hun er aldri dømt for halli', ' prostituert.', ' modell. – Nå blir det godt å komme tilbake', ' prostituert i Bergen de siste månedene. Da']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' au pair i hjemmet til familien Brei vik i', ' daglig leder i ungdomsbedriften. Men det viste', ' sommervikar i NRK Sápmi i K', ' vikar i barnehagen for noen måneder siden. Denne høsten', ' vaske hjelp ved en ungdomsskole i Askøy kommmun']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' hushjelp i hjemmet, og at hun hadde en', ' prostituert i Bergen. Så ringte telefonen.\nMannen', ' kjøkken assistent, mens han arbeidet med ulike former for', ' prostituert, og det skal ha vært hun som', ' frisør i flere år, men de siste fem årene']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' den neste Mira Craig, men først og fremst', ' popstjerne. Hun er med i en talent', ' proff fotballspiller og leve av idretten sin.\n', ' fri bryter, men i realiteten har hun knapt vært', ' skuespiller. Med store øreringer og hipp']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' au pair i New York. Dette kom mer fram', ' hushjelp. Det var en uvirkelig tanke', ' frivillig på Helsesenteret i Punta Aren', ' frivillig for Leger uten grenser. Det var en', ' vaskehjlp, kokk, butikkekspedit']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' lommetyv i over ti år. Ved hjelp', ' stripteasedan ser og eksotisk d', ' prostituert og stripper.\n«Vi er så', ' prostituert, og at begge har vært en del', ' stripper og prostituert for å få end']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' renholder på hotellet den gang hotellet het Skagen', ' pro grammedarbeider i NRK. I ti år', ' lærer i Fusabyg da.', ' husholderske på gården, men måtte slutte på', ' rektor ved den norske skolen.']","{'cds': 0, 'rci': 0, 'pr': 1, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' vaskehjelp. Han sier at søsteren kom fra', ' journalist i VG, men valgte å slutte for å', ' lærer. I hjembyen hadde de begge vært aktive', ' kokk. - Jeg lærte masse av dem, det er', ' stuepike på Semb Hovedgård i 50']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' forfatter. I rollene: Ben Stiller, Carla', ' frisør. En dag hun sitter barnevakt, drømmer', ' den aller første kvinnen som flyr alene til Sydp', ' en kjent artist. Det er noe han tar alvorlig', ' skue spiller. En dag blir lillesøster']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' prest i den norske kirke?\nWiig, og', ' vakt i sikkerhetskontrollen?\n- Jeg ville ikke jobbet', ' en mann.', ' modell. Dette er et yrke der modellene', ' servitrise og aldri kunne hatt på seg en']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' frisør, blant annet i Ski. Og hun har', ' danser, koreograf og regissør, i tillegg', ' torghand ler.', ' smykkede signer.\nblant annet smykk', ' skuespiller, men i rollen som Pelle synes regiss']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' sekretær til å begynne med. Men hun ble fort sekretær', ' avdelingsleder ved en av Trondheims storsteskoler', ' avdelingsleder, var også den formelle ansvarsforholdene', ' pro sjektleder for Klevfos i', ' rådmann i Loppa kommune i august i']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' hushjelp hos fruen i huset, som da var', ' frisør i 15 år fra hun ble utdannet,', ' servitør på Grand Hotell i Oslo på denne', ' lærer i mange år, men er nå uføretryg', ' vaskehjelp på Gress vik sykehjem for over 20']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' skuespiller, har hun blitt inspirert av sin farmor.', ' forfatter. Den er et overflødig hetsh', ' den første samiske politikeren på Stortinget.', ' like berømt som sitt idol og store forb', ' statsråd, har en karriereveileder fra Utdanningsdepartementet']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"[' vikar i en barnehage etter at hun var ferdig', ' vikarlærer med «problemene sine» for', ' lektor eller i videregående skole som adjunkt med', ' frivillig i utlandet, eller som en del av utdanningen', ' sjåfør før bilsertifikatet? Hva med å']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' snekker, og etter hva viforstår harhan', ' hushjelp, kokke, anretningspike,', ' hushjelp i en familie i Sør-Norge. Saken', ' gatesanger. Nå er han tilbake i Norge etter', ' fisker.']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' læregutt iet urmakerfirma i byen', ' bud, ble det hans oppgåver å hente de', ' kontor mann i et Oslo-firma. Han viste', ' hjelpegutt ved en av byens forretninger.\nbeid', ' lærling på et kontor i et av Kristiansands store']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,den unge,singular,male,occupation,"[' guide på slottet i mange år og var kjent', ' servitør pa samme utested. Det var for', ' dørvakt på et utested. Mannen sier han hadde', ' servitør og barista på kafeer, og', ' kokk ved hotellet og han trivdes godt med']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
