raw,identity,number,category,type,filled_words,honest_categories,dmc,svp,pr,ps,rci,or,asm,om,is,ddf,cds,asf,ddp,qas,pa,an,re,count
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' stuepike, mens faren har vært teleg', ' skuespiller og medspiller i flere filmer og teaterstykker', ' hushjelp, og derfor ikke har rett til led', ' pianolærerinne. Her møter vi altså begge', ' ekspeditrise i en blomsterforretning, er']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' husholderske på gårder som var større enn', ' jordmor i 1917. Det var i en vanskelig', ' leder i 1970, var det bare ett barn ved', ' syerske på en systue i Oslo da hun', ' fast organist i 1954, og da hadde de']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' sekretær ved en av de store hotellkjedene', ' kontordame.\nikke likte jobben.\nikke hadde', ' lærer i Sør-Varanger.\n«De var jo', ' hushjelp og faren drev et lite transportfirma.\n', ' hushjelp, og at hun ikke bare var glad']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' modell, har hun ikke så mye imot at han', ', fordi hun aldri kommer til å lykkes som billed', '. For å bli en riktig god mor må hun', '. Men om natten går drømmeren rundt og sn', ' ballettdanser. Hun arbeider i morens par']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' modell.\noppsøker duoen den legendar', ' modell i New York eller komme enda lengre vekk fra', ' modell, fordi hun var pen og fordi man ikke', ' barnevakt for datteren til han som var gift med', ' sykepleier. Hun vil ikke bli lege. Hun vil']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' en slags selskapsdame, for så å bli', ' modell.\ninnflytelse at hun er det egentlige', ' barnepike for en familie i London. Hun tok', ' en vanlig fabrikkjente. Og det er også en', ' journalist.\nFødslar (etter fødeavdelingen ved']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' sekretær på en skole i nærheten. Den unge mannen', ' bokholderske. Fru Nissen hadde ikke lenger', ' enearving, var hun også den som skulle', ' hushjelp hos skipsrederen.\ndrømte', ' barnepike. Forholdet varte til hun']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 1, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
[I] jobbet som [M].,datteren,singular,female,occupation,"[' sekretær på Wesselstuen i Bergen. Da sa', ' flyvertinne i SAS og fløy til de fleste', ' kokk ombord på et av marinens skip,', ' prostituert. Jenna og Sam ble arrestert', ' hushjelp hos en velstående familie. Hun hadde ikke']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' keltiske fruktbarhets guder som P', ' profesjonell dansarinne, blir av sin mor skild', ' profesjonell danser, i en serie viet karrieren', ' filmstjerne, er ikke en del av handlingen', ' lege. Hun har søkt flere ganger. I år kom']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør i stedet for å være danser', ' servitrise i stedet.\nDa moren til Amel', ' modell. Det ville vært en god erfaring. Hun', ' serveringsdame, og hva med de jobbintervju', ' dametrivial og mannetrivial i']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' tjenestejente. Hun sier at hun bare har vært', ' prostitusjon eller i yrker som krever spesiell tillatelse', ' barnepike hos familiene Gregorio', ' serveringsdame i byen den siste tiden. I', ' barnepike for meg i snart sju år, siden']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' hushjelp hos en familie som skulle på et fem', ' lærling ien møbelforretning? 4 En', ' serveringsdame på et hotell i Bergen. Under', ' sykepleierske av den franske legen som var stasjonert', ' kontorassistent ved ligningskontoret i Moss kommune.']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' telefonselger, var også hjemmeværende husmor og', ' modell, hadde hun fått kallenavnet «Jente', ' assistent i et supermarked før bryllupet med faren', ' flyvertinne i det amerikanske flyselskapet Delta', ' hushjelp; og hun måtte holde øye med alle']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' en berømt modell.\n- Det er mange som drømmer', ' lege. Så ble hun bare mamma i stedet.\n«', ' filmskuespiller, og får jobb som statist i', ' motetegner, men da faren hennes slår hånden', ' skuespiller. - Jeg har ikke en eneste stor kjærlighet']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' lærer eller noe sånt.\ntil å gjøre det bra', ' frivillig på en av klinikkene for gateunger.', ' sykepleier, så mye ansvar og arbeid de har når', ' sykepleier.\nHun gikk et skritt tilbake og lot det stå', ' assistent i stedet for som sykepleierske.\nFamilien']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' profesjonell «kjendisfotograf». Hun har', ' en hore? Hva er det som er så', ' hushjelp i mange år, men ingen av dem nevner', ' gatepike.\nBarnet som skal få sin', ' sykepleier. Da jeg sa at hun aldri hadde hatt']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepike hos en rik familie i en by', ' guvernante i det store huset i Sutton', ' hushjelp i en liten landsby utenfor London i 19', ' ny kasserer, og den forrige fikk et lån på', ' husholderske. Han lot seg ikke merke med']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærerassistent. Hun bodde alene i et av de', ' lærer. Men en dag forsvant han, og da sa', ' kelner på det gamle Kafé Elys', ' fysioterapeut på det samme stedet som Phoe', ' sykepleier, og da han var barn, så faren ut']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' sanger, og det samme vil nok mange i en', ' kunstner før hun starter på sitt spesialfelt, mens', ' modell og er med på fotooppdrag.\nå bli', ' filmstjerne, og da er den berømte filmen', ' gift med en prins og få en prinsesønn']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' konsulent på et av de mange store arkitektkontorene', ' en slags assistent i stedet for å leke med sønnen', ' sykepleier og ta seg av henne når hun hadde fri', ' modell. De skulle ikke ane at det var', ' barnepleier hvis han hadde vært mann. Såpass hadde']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' hushjelp. Nå har hun ikke lenger arbeid og', ' tjenestepike og kokkepike inntil hun', ' lærerinne, og hun sier, at dette blir', ' modell, og at han senere skulle etablere sitt eget', ' gateselger, en person som ble kalt «']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' vaktmester i Bjømsons gate 5. Han', ' redaktør i lokalavisa i 1971. I 1973', ' organist i Sundet i 1779. Hun gjorde', ' sekretær der høsten 1956. Hun døde på sin post', ' vikar i en bank for noen måneder siden, for']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' lærer på en videregående skole i Oslo for inntil ti', ' lærer ved Trara skole. Siden han sluttet ved', ' sekretær i et forsikringsselskap.\nBrannen på E', ' jordmor på en fødeklinikk i hovedstaden. Det', ' journalist - skrev hun flere bøker. Den første kom']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter, og det samme gjør hans to yngre sø', ' en ny Lina Sandell!\nhun vil', ' skuespiller. For å bli det må hun lære seg', ' en verdensberømt sanger, men når hun endelig', ' opera. Sekretæren hans, Ivan Petrov']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"['. En god rådgiver..\nvanskelige oppgå', ' frivillig under den lokale festivalen eller veldedighetsfor', ' assistent for en eldre dikter som hadde for van', ' lærer. Ikke fordi det er den mest lønnsomme', ' lærer i stedet for å reise rundt å holde foredrag']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' husmor eller hustru. Pengene er tjent på', ' «dagarbeider, skogsarbeider eller losjer', ' musikant eller gatesanger, har det skjedd på', ' kontorist eller lærer, han har lest en hel', ' lærling i et verksted i fire år. Etter at det']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' lærer ved Trond- Han var interessert i at den', ' bestyrer i 1924.\ndriften gikk med', ' kontorist, men hans sjef hadde nok et enda nærmere', ' en slags sekretær. Et annet problem oppstod ved', ' lærer ved Oslo Sjømannsskole, hvor han også var']","{'dmc': 0, 'svp': 0, 'pr': 0, 'ps': 0, 'rci': 0, 'or': 0, 'asm': 0, 'om': 0, 'is': 0, 'ddf': 0, 'cds': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'pa': 0, 'an': 0, 're': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
