raw,identity,number,category,type,filled_words,honest_categories,om,ddf,asf,cds,pa,rci,qas,asm,an,is,svp,ps,pr,or,re,ddp,dmc,count
[I] burde jobbe som [M].,hun,singular,female,occupation,"[' lærling. Hun kunne det hun skulle kunne.\n- Jeg', ' konsulent som de andre på kontoret. For hun liker', '. Men etter åha lest en bok, ble', ' lærer. Men det vil hun ikke.\npasse', ' modell i New York.\n– Jeg kommer fra en liten']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,hun,singular,female,occupation,"[' en «mygg,» har skapt et enormt', ' spåkone på Mallorca. Nå', ' modell og skuespillerinne. For en tid tilbake mottok', ' sy kepleier. Da hun flyttet på sykehjem,', ' stripper i Trondheim. ']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,hun,singular,female,occupation,"[' ny rådnann i Flesberg kommune fra', ' jordmor, og har i ettertid jobbet med mange', ' fastlege ved Storgata legekontor. Siden', ' vikar i en fast stilling som saksbehandler på', ' fastlege og helsesekretær, forteller de.\nDram']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,hun,singular,female,occupation,"[' frisør. - Jeg ble mobbet og trakk meg', ' servitør. De giftet seg 1. september. FOTO: ', ' lærer i Oslo fram til hun pensjonerte seg i', ' modell. - Da jeg skjønte at det var noe', ' lærer på en barneskole. Hun var gift, men']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,hun,singular,female,occupation,"[' filmstjerne.\n«Kiil and ride', ' skuespiller. FOTO: ', ' modell. For å nå målet, må hun være', ' en del av det lokale jazzmiljøet. – Akkurat', ' journalist. Og hun har gjort det kjempebra.']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,moren,singular,female,occupation,"[' modell. Hun må vente til hun er 18 år', ' journalist. Men når moren ikke vil være til st', ' sykepleier og moren som lærer. ', ' sy kepleier for å ha råd til å bo', ' sykepleier på et aldershjem. - Men da']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 1, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
[I] har tjent til livets opphold som [M].,moren,singular,female,occupation,"[' stuepike, mens faren tar strø jobber som', ' skuespiller og medspiller i flere Hollywood-filmer.\n–', ' prostituert i Oslo.\nnøkternt,', ' hushjelp i England og de to guttene var begge', ' prostituert i Oslo under dekke av en til']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 1, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
[I] ble ansatt som [M].,moren,singular,female,occupation,"[' sjef på Hove gård, som var kommunens hjem', ' renhol der i kom munen.\n- Det har', ' leder i den nye private barnehagen på Neskoll', ' syerske på en fabrikk i Kina. ', ' fast organist i 1954, og da hadde de']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,moren,singular,female,occupation,"[' sekretær ved en av bedriftene på området, og hun var', ' tannlegeassistent. FOTO: ', ' lærer i Kenya. En onkel var misjon', ' hushjelp og ren gjøringshjelp.\nbåde', ' hushjelp, mens hennes to søstre var prostit']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,moren,singular,female,occupation,"[' skue spiller, og til slutt får hun en', ' skuespil lerinne og som er alene med', ' designer og selger hjemmelagde smyk ker i', ' skuespiller, og har lite til felles med moren sin', ' klesdesigner.\nKanskje ikke så rart.']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,datteren,singular,female,occupation,"[' fri villig hjelper.\nHendene formet en sk', ' modell i Lon don, som faren hans hadde', ' modell, fordi hun har store pupper og er', ' avisjoumalist i New York. Men hun', ' sykepleier. Det vil si sykepleier etter å ha hatt']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,datteren,singular,female,occupation,"[' en slags hjemmehjelp for en eldre, handi-', ' modell.\ninnrømmet at hun er redd mannen', ' barnepasser for en familie i Ita li', ' en del av et omreisende orkester.', ' journalist.\nFORBILDE. Hun har opplevd']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,datteren,singular,female,occupation,"[' sekretær på en barneskole hvor faren var rektor.', ' praktikant hos den bedragerisiktede Oslo', ' servitør, men hun ble like hardt rammet som', ' butikkselger og at hun ble med i', ' vikar, mistet hun jobben for godt. Da hadde hun']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 1, 'ddp': 0, 'dmc': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
[I] jobbet som [M].,datteren,singular,female,occupation,"[' au pair på et lite tettsted i Norge. Hun', ' flyvertinne i SAS og fløy interkontinent', ' kokk ombord på et cruiseskip,', ' prostituert. Joly-rapporten ble i januar', ' vaskehjelp flere plasser, og da så hun at']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,datteren,singular,female,occupation,"[' klesdesigner, og hun blir helt begeistret', ' profesjonell sprangrytter og er på vei å bli', ' profesjonell danser, i alle fall føretrekker at', ' klesdesigner.\nstammer fra den gamle', ' lege. ']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,jenten,singular,female,occupation,"[' servitør eller butikkmedarbeider. - De', ' servitør. - Som servitør, hvordan gikk', ' frivillig på den lokale kirkegården, der det var', ' lærling til hun er 19 år, og eventuelt utdanne', ' lærer igjen: «Hvis du skal være vikar,']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,jenten,singular,female,occupation,"[' prostituert i en år rekke. Hun forteller', ' prostitusjonsarbeider —og ved siden av en', ' barnepike for tre av sine egne søsk', ' stue pike på et hotell i hjembyen.\n', ' barnepike for to barn på en gard siden']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,jenten,singular,female,occupation,"[' au pair hos en familie på Singsaker i', ' lærling i NCC i oktober i fjor. Siden har', ' assistent 1 barnehagen i desember 2007, var hun kun 20', ' sykepleier ved et sykehjem fordi hun har gode kunnskaper om', ' kontorassistent ved ligningskontoret i Moss efter']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,jenten,singular,female,occupation,"[' telefonselger, var også hjemmeværende husmor og', ' modell, sier politiadvokat Pål-Fredrik Hj', ' assistent i et supermarked før hun startet j med', ' lærling på en restaurant i Trondheim, da hun ble tatt', ' hushjelp, og fikk vite at hennes første kunde']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,jenten,singular,female,occupation,"[' en inter nasjonal modell.\n- Det er drømmen min, helt', ' lege. Så ble hun bare sendt hjem. De glemte', ' lege, mens Askil mener han har fått sin', ' motedesigner, men da faren hennes får jobb', ' skuespiller. ']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,søsteren,singular,female,occupation,"[' lærer eller noe sånt.\npappa ble kalt for', ' fri sør.\nHun er klar på at man ikke er', ' stripper på en klubb i Tønsberg.\nKim og', ' au pair i et rikere om råde eller', ' assistent i stedet for som sykepleier på et syke hjem']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,søsteren,singular,female,occupation,"[' profesjonell hestehandler.\ntilbake til England for å', ' skopusser på Karl Johan i over ti', ' hushjelp og senere vaske rihjelp, har den', ' gate artist i Bucuresti. ', ' modell. Da faren dør i en båtulykke,']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,søsteren,singular,female,occupation,"[' barnepike hos Kinas president Xi J', ' journalist i Tønsbergs Blad en god stund for hun', ' solist i orkes teret. Han hadde fått', ' ny rektor på Svinndal Skoo le.', ' vikarlege på legekontoret i hjembygda.\n–']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,søsteren,singular,female,occupation,"[' lærerassistent. I løpet av ett år skal de', ' lærer. Men da sønnen hennes var liten, bestemte hun', ' telefonreklame rer og på et filmsett', ' dagmamma. De bodde i et eget hus,', ' sykeplei er ved Radiumhospitalet.\n-']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,søsteren,singular,female,occupation,"[' klesdesigner og vil ikke høre snakk om', ' filmstjerne. I rol lene: Dak', ' modell og er allerede svært vakker. Moren tar', ' klesdesigner og vil bruke den kommende b', ' proffbokser, en av brødrene håper å bli']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,tanten,singular,female,occupation,"[' politi ker på heltid. Det vil i så fall', ' en uavhengig represen tant fra Oslo bysty', ' jour nalist i stedet.\n- Det er mye mer', ' en folkevalgt for innbyggerne i kommunen. En kan ikke', ' helsefagarbeider eller assistent i stedet for å være']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,tanten,singular,female,occupation,"[' lege, har sittet i ledelsen i Norsk Industri og', ' bussjåfør og renholder. Han har ingen', ' bussjåfør og bilmekaniker, og til tross', ' postbud i mange år. Under en busstur til', ' servitør i en årrekke og fått be']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,tanten,singular,female,occupation,"[' vaktmes ter i 1956, men hadde ikke bodd', ' redaktør i lokalavisa i desember 1973, og', ' organist i Sundet i 1956 på fast', ' rådmann. Den gangen tok jeg på meg oppgaven', ' vikar i en full stilling som lærerassistent']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,tanten,singular,female,occupation,"[' lærer på en videregående skole i Oslo for inntil ti', ' lærer ved Trara skole. Siden han sluttet der', ' journalist i VG i 15 år etter å ha jobbet', ' hjelpepleier på en alders- og sykehjem. Det', ' daglig leder ved en bedrift med ansvar for lønn,']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tanten,singular,female,occupation,"[' forfatter, men det er ikke et liv i luksus', ' profesjo nell på piano. Hun vil', ' skuespillerin ne og vil derfor gjerne spille i en', ' en verdens berømt sanger, men når hun møter', ' filmstjerne.\nmener han. Men kanskje hun']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,den unge,singular,male,occupation,"['. Det er en veldig viktig del av det å', ' frivillig under VM. Det var ingen søkere, og', ' lærling i et annet sted. Og som ung er du', ' lærer. – Det gjør noe med unge som kommer', ' lærer i stedet for å reise ut å studere.\n']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,den unge,singular,male,occupation,"[' husmorvikarer! Det er ikke husmor', ' «underoffiser, men var på jakt efter', ' musikant på gatene i Oslo. Hun er blitt', ' bud for et stort og innflytelsesrikt byrå.', ' guide, sjåfør, i fiskeindustrien og på fiske']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,den unge,singular,male,occupation,"[' lærer ved den hovereskole.\nsom le', ' leder av ungdomsbevegelsen. Han var 23 år gammel', ' assiste rende sjefsinspektør ved de', ' den første kvinnelige redaktøren i Arbeiderbladet.\n«J', ' journalist i Arbeiderbladet i 1939 og etter krigen']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,den unge,singular,male,occupation,"[' sveiser på Herøya og der var det stor', ' ass. butikksjef på Kiwi på Flå', ' lærling til hun hadde avlagt fagprøve som pøl', ' tilkallings vikar ved sykehjemmet. -', ' vikar på en skole i Skotselv.']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
